schema_version,criterion_id,family,scope,method,metric,source_artifact,observed_value,operator,threshold_value,threshold_defined,numerator,denominator,denominator_defined,status,required,failure_stage,notes
otg.section16-acceptance.v1,nonfallback_sequence_consistency_100pct,executable_target_invariants,adjacent_nonfallback_clean_candidate_targets,one_step_governed_pva_direct,nonfallback_sequence_consistency_rate,locked_test/governor_invariants.csv,1.0,rate==,1.0,True,42079.0,42079.0,True,pass,True,governor,Exact adjacent constant-jerk state consistency on nonfallback transitions.
otg.section16-acceptance.v1,projection_rate_zero,executable_target_invariants,all_clean_candidate_cycles,one_step_governed_pva_direct,projection_rate,locked_test/governor_invariants.csv,0.0,rate==,0.0,True,0.0,42199.0,True,pass,True,governor|follower,Projection remains distinct from the proposed governor and from fallback.
otg.section16-acceptance.v1,fallback_rate_reported_separately,fallback,deduplicated_clean_candidate_cycles,one_step_governed_pva_direct,fallback_rate,summaries/fallback_summary.csv,0.0,report_only,0.0,False,0.0,42199.0,True,reported,False,governor|follower,Reasons are preserved in per-reason rows; fallback is not silently treated as success.
otg.section16-acceptance.v1,runtime_total_p99_below_1ms,runtime,complete_repeated_post_warmup_100hz_cycles,one_step_governed_pva_direct,total_p99_us,locked_test/runtime_repetition_samples.csv,878.00041,<,1000.0,True,8100.0,8100.0,True,pass,True,estimator|prediction|governor|follower|plant,Pooled 5 repetitions after 100 warm-up cycles per trajectory.
otg.section16-acceptance.v1,runtime_total_max_below_5ms,runtime,complete_repeated_post_warmup_100hz_cycles,one_step_governed_pva_direct,total_max_us,locked_test/runtime_repetition_samples.csv,1291.0,<,5000.0,True,8100.0,8100.0,True,pass,True,estimator|prediction|governor|follower|plant,Global maximum over the full repeated post-warm-up population.
otg.section16-acceptance.v1,runtime_100hz_deadline_miss_rate_zero,runtime,complete_repeated_post_warmup_100hz_cycles,one_step_governed_pva_direct,deadline_miss_rate,locked_test/runtime_repetition_samples.csv,0.0,rate==,0.0,True,0.0,8100.0,True,pass,True,estimator|prediction|governor|follower|plant,Each stored deadline flag is independently checked against its 10 ms deadline.
otg.section16-acceptance.v1,csv_p_only_rmse_reference,csv_development_regression,legacy_fixed_grid_only,deployed_p_only,position_rmse,real_replay/metrics_by_trajectory.csv,0.2855470017483934,report_only,0.035187,False,0.0,0.0,False,reported,False,information_condition,Reference is approximate (0.035187 rad); the protocol declares no pass/fail tolerance.
otg.section16-acceptance.v1,csv_candidate_rmse_target,csv_development_regression,legacy_fixed_grid_only,one_step_governed_pva_direct,position_rmse,real_replay/metrics_by_trajectory.csv,0.21995757855230155,<=,0.02991,True,0.0,0.0,False,fail,True,information_condition,Strict development regression target in rad; this single trace is not used for parameter selection.
otg.section16-acceptance.v1,csv_p_only_lag_reference,csv_development_regression,legacy_fixed_grid_only,deployed_p_only,lag_s,real_replay/metrics_by_trajectory.csv,0.040000000000000036,report_only,0.07,False,0.0,0.0,False,reported,False,information_condition,Reference is approximate (0.07 s); the protocol declares no pass/fail tolerance.
otg.section16-acceptance.v1,csv_candidate_lag_target,csv_development_regression,legacy_fixed_grid_only,one_step_governed_pva_direct,lag_s,real_replay/metrics_by_trajectory.csv,0.1200000000000001,<=,0.03,True,0.0,0.0,False,fail,True,information_condition,Strict development regression target in s; this single trace is not used for parameter selection.
otg.section16-acceptance.v1,csv_p_only_max_error_reference,csv_development_regression,legacy_fixed_grid_only,deployed_p_only,position_max_abs_error,real_replay/metrics_by_trajectory.csv,0.7167194261734315,report_only,0.184528,False,0.0,0.0,False,reported,False,information_condition,Reference is approximate (0.184528 rad); the protocol declares no pass/fail tolerance.
otg.section16-acceptance.v1,csv_candidate_max_error_target,csv_development_regression,legacy_fixed_grid_only,one_step_governed_pva_direct,position_max_abs_error,real_replay/metrics_by_trajectory.csv,0.6683099250163899,<=,0.184528,True,0.0,0.0,False,fail,True,information_condition,Strict development regression target in rad; this single trace is not used for parameter selection.
otg.section16-acceptance.v1,section16_overall_required_pass_rate,overall,all_predeclared_strict_section16_criteria,one_step_governed_pva_direct,required_criteria_pass_rate,summaries/acceptance_criteria.csv,0.8333333333333334,rate==,1.0,True,15.0,18.0,True,fail,True,see_failed_rows,Informational roll-up; every component row remains authoritative.
